model,modality,MAE_mean,MAE_perc_10th,MAE_perc_90th,MSE_mean,MSE_perc_10th,MSE_perc_90th,PSNR_mean,PSNR_perc_10th,PSNR_perc_90th,SSIM_mean,SSIM_perc_10th,SSIM_perc_90th
0,faket,0.38388532,0.3389456272125244,0.418489545583725,0.15584729147243204,0.1223260711070123,0.1830187136584588,8.135565845317227,7.375045014002495,9.124809727981212,0.18717766,0.17485952377319336,0.199941486120224
0,noisy,0.41498554,0.38972097635269165,0.42889806628227234,0.17937258316788246,0.15961454529114066,0.1903463604066501,7.472510557791531,7.204554228707325,7.969275349661945,0.1768548,0.1614798903465271,0.18710073828697205
0,shrec,0.60175794,0.5301830768585205,0.6407030820846558,0.3719613928173743,0.2901859295039014,0.41768774552549126,4.3365174541526015,3.7914826624488223,5.373236493998653,0.13119489,0.12591257691383362,0.13815581798553467
1,faket,0.36183736,0.347134530544281,0.3850083649158478,0.1396967715524982,0.12985711637747183,0.15571941551332785,8.561193165032803,8.076572350579912,8.86534245350962,0.17641596,0.15536969900131226,0.21525660157203674
1,noisy,0.36541104,0.3413717746734619,0.37849879264831543,0.14047137666029486,0.12384561113696131,0.14946949234898385,8.53570701582766,8.25447440493617,9.071193794113922,0.19626293,0.17912569642066956,0.20744295418262482
1,shrec,0.5148028,0.4704538583755493,0.5491055250167847,0.2731605683363968,0.22880715680474684,0.30781326979363616,5.670444826174319,5.117126617172454,6.4053039547254755,0.16574737,0.15428608655929565,0.17487066984176636
2,faket,0.32992485,0.301521360874176,0.34588828682899475,0.11349510633532447,0.09560561477993969,0.12378988691600713,9.471731668591655,9.073148337971125,10.195166014860375,0.38107055,0.3625487685203552,0.409241259098053
2,noisy,0.379664,0.35522913932800293,0.3929709196090698,0.15104263104870622,0.1332981820054568,0.1607076314112409,8.220444494980043,7.939634997077297,8.751757736947855,0.19113173,0.17577539384365082,0.20097282528877258
2,shrec,0.5307824,0.5163624286651611,0.5535526275634766,0.29115714910327717,0.27675159075976696,0.3145075264745595,5.365488250027163,5.023689570000879,5.579098741305285,0.12952724,0.11017313599586487,0.15518063306808472
3,faket,0.33958745,0.3098509907722473,0.3562549352645874,0.121167002939203,0.10245063569964086,0.13217270112114865,9.186588530938069,8.788582345379988,9.894853424849469,0.3568365,0.3335784673690796,0.38490575551986694
3,noisy,0.39377058,0.3672232925891876,0.4081968665122986,0.16369343051352273,0.14407271954098058,0.17429848885934526,7.871563830343629,7.587063781389607,8.41418245934401,0.16661891,0.15456295013427734,0.17462500929832458
3,shrec,0.4779899,0.43716299533843994,0.5008828639984131,0.23652904653341308,0.20053697553355015,0.2582812748647795,6.2830086349566665,5.879070786028386,6.978055393048349,0.20009044,0.1865219622850418,0.21409814059734344
4,faket,0.37793657,0.33421599864959717,0.44684672355651855,0.15188054385072774,0.11966979414519759,0.2052924754709877,8.287587095480692,6.876269684146797,9.220154560389501,0.19544955,0.17325589060783386,0.2213231325149536
4,noisy,0.37241557,0.3489205241203308,0.38509970903396606,0.1449810993666471,0.1283690146984377,0.1538878847370769,8.397693363307644,8.127955698952645,8.915397922284662,0.2017571,0.1832190454006195,0.21368852257728577
4,shrec,0.4805165,0.4405995011329651,0.5028393268585205,0.2373740330984179,0.2009348068051916,0.2585468899849708,6.266882801615543,5.874606819123688,6.969448263473852,0.21241136,0.20346683263778687,0.22043371200561523
5,faket,0.35839176,0.32731837034225464,0.3757067322731018,0.13448923032185756,0.11349257451035126,0.14658231228249205,8.734416989884213,8.339184317518955,9.450325521684253,0.34205645,0.3250560760498047,0.3686840832233429
5,noisy,0.4065677,0.3818281292915344,0.4201582074165344,0.17331904893487815,0.15386815891537128,0.1838520375271867,7.62181453532016,7.355315527306068,8.128512426640448,0.18164521,0.16854268312454224,0.19047075510025024
5,shrec,0.5248784,0.47760140895843506,0.5991982817649841,0.2869914303083421,0.23835112180766257,0.3664483638984961,5.486206486089836,4.359872129842294,6.22782799710377,0.13720493,0.12598615884780884,0.15064498782157898
6,faket,0.37801918,0.3232898414134979,0.41031211614608765,0.1499370952976189,0.11057360637835031,0.17409671834237908,8.306322809269137,7.5920941509305635,9.563485255826535,0.2417249,0.21611575782299042,0.26382002234458923
6,noisy,0.34897587,0.32584303617477417,0.36151939630508423,0.1281466177957236,0.11294096544037394,0.1363792845007606,8.934630265745202,8.652515923646705,9.47148504153284,0.21050975,0.191945880651474,0.22244462370872498
6,shrec,0.49943605,0.45668333768844604,0.5233776569366455,0.25685847485699215,0.21625481547578515,0.28040091576657794,5.925454885695279,5.522205723326183,6.650342130595571,0.190253,0.1801697462797165,0.19878432154655457
7,faket,0.42907274,0.38587504625320435,0.49711403250694275,0.19267922125819112,0.15677140770321818,0.2517081543709563,7.230762380369348,5.991027147617474,8.047331419641514,0.18811812,0.1662822663784027,0.21780507266521454
7,noisy,0.39367604,0.3691503405570984,0.4069814085960388,0.16135378228717387,0.1427448569998166,0.1715487348674585,7.933218890102492,7.656124804181118,8.454395301352612,0.1880903,0.17014369368553162,0.19923368096351624
7,shrec,0.5659551,0.5087221264839172,0.5996862053871155,0.3271807732009529,0.2644797111101053,0.36521239635390756,4.88575603108702,4.374544896899616,5.776076381501067,0.17396027,0.16796815395355225,0.17952629923820496
8,faket,0.4230582,0.34326815605163574,0.46651798486709595,0.18821093479376694,0.12606987336209335,0.22440193076209788,7.3587501899678145,6.489734107148172,8.993886834172741,0.18570209,0.1784895360469818,0.19253820180892944
8,noisy,0.3812048,0.35750246047973633,0.39411813020706177,0.1515998423179594,0.13417728303350743,0.16120310674754246,8.203919544937673,7.926265926158365,8.723210064346743,0.19899595,0.18086957931518555,0.21073943376541138
8,shrec,0.52456963,0.4825143814086914,0.5908348560333252,0.2835811809507895,0.24008757072666334,0.35418980449665,5.525699807796758,4.507639443163939,6.196303226774475,0.16945805,0.15772636234760284,0.186172753572464
9,faket,0.3572248,0.3122847080230713,0.3919376730918884,0.1372840494844307,0.10562832575871603,0.1623982540467675,8.695148480262509,7.894186441954011,9.762196038560253,0.20033474,0.187063068151474,0.21441420912742615
9,noisy,0.37028208,0.34561121463775635,0.3836798667907715,0.1454810301276291,0.1282024803651513,0.15477002388206132,8.383667560667147,8.103131503924486,8.921035723329757,0.18684618,0.17204910516738892,0.19627104699611664
9,shrec,0.5739205,0.5024492740631104,0.6127545833587646,0.3406180857834652,0.26418162885156415,0.38416326288127506,4.721531788531478,4.154841686018256,5.78097386440632,0.1405623,0.12992790341377258,0.14959152042865753
